title,journal,pubDate
Has resourcing of non‐governmental harm‐reduction organizations in Ukraine improved HIV prevention and treatment outcomes for people who inject drugs? Findings from multiple bio‐behavioural surveys,Journal of the International AIDS Society,2020-08-26
Epidemiology and clinical features of emergency department patients with suspected and confirmed ‐19: A multisite report from the  Quality Improvement Project for July 2020 (‐3),Emergency Medicine Australasia,2020-09-21
Recent Advances in Extracellular Vesicles as Drug Delivery Systems and Their Potential in Precision Medicine,Pharmaceutics,2020-10-22
HEALTH: Coronavirus,"Africa Research Bulletin: Political, Social and Cultural Series",2020-11-24
Veno‐venous extracorporeal membrane oxygenation and prone ventilation for therapeutic management of COVID‐19,Acute Medicine & Surgery,2020-07-27
"Can Building “Artificially Intelligent Cities” Safeguard Humanity from Natural Disasters, Pandemics, and Other Catastrophes? An Urban Scholar’s Perspective","Sensors (Basel, Switzerland)",2020-05-25
Letter to the Editor: Acute hypertriglyceridemia in patients with COVID‐19 receiving tocilizumab,Journal of Medical Virology,2020-04-21
Tackling Real-World Environmental Paper Pollution: A Problem-Based Microbiology Lesson About Carbon Assimilation,Frontiers in Microbiology,2020-11-05
Le virage numérique comme vecteur d’égalité (territoriale) en santé (I),"Ethics, Medicine, and Public Health",2020-10-05
"Kerala, India's Front Runner in Novel Coronavirus Disease (COVID-19)",Frontiers in Medicine,2020-07-02
Upper limb movements and the risk of unplanned device removal in mechanically ventilated patients,Acute Medicine & Surgery,2020-10-11
COVID-19 presenting as an exanthematic disease: a case report,Revista da Sociedade Brasileira de Medicina Tropical,2020-09-11
"Coronavirus Disease 2019 Case Surveillance — United States, January 22–May 30, 2020",Morbidity and Mortality Weekly Report,2020-06-19
Bilateral adrenal hemorrhage in Coronavirus disease 2019 patient: A case report,The Journal of Clinical Endocrinology and Metabolism,2020-08-01
Failure in initial stage containment of global COVID‐19 epicenters,Journal of Medical Virology,2020-04-28
Lactose Dehydrogenase in Patients with Severe COVID-19: A Meta-Analysis of Retrospective Study,Prehospital and Disaster Medicine,2020-04-24
Mental health and COVID-19 in Nepal: A case of a satellite clinic,Asian Journal of Psychiatry,2020-05-19
Preventive Oral Health Services,Journal of the American Dental Association (1939),2020-06-24
Collateral Damage of the COVID‐19 Pandemic on Nutritional Quality and Physical Activity: Perspective from South Korea,"Obesity (Silver Spring, Md.)",2020-06-15
Heparin – an old drug with multiple potential targets in Covid‐19 therapy,Journal of Thrombosis and Haemostasis,2020-05-19
